date,horseID,raceID,numberOfRunners,finishingPosition,weight,ageInDays,daysSinceLastRace,nPastRaces,raceClass
20170101,1269845,664916,8,1,120,1035,0,0,6
20170101,983074,664916,8,2,125,1006,10,13,6
20170101,904959,664916,8,3,137,1354,12,3,6
20170101,1022896,664916,8,4,120,1007,69,5,6
20170101,1185803,664916,8,5,115,988,27,2,6
20170101,931642,664916,8,6,135,1399,228,6,6
20170101,1282857,664916,8,7,122,1021,0,0,6
20170101,1185801,664916,8,8,120,977,45,2,6
20170101,1022966,664913,4,1,119,1016,19,8,5
20170101,1114218,664913,4,2,133,1039,25,5,5
20170101,1006060,664913,4,3,130,998,27,13,5
20170101,923900,664913,4,4,131,1042,32,7,5
20170101,811572,664914,7,1,127,2844,19,69,6
20170101,745446,664914,7,2,125,3593,19,60,6
20170101,816116,664914,7,3,137,2460,15,40,6
20170101,772724,664914,7,4,122,3250,386,34,6
20170101,773202,664914,7,5,131,2835,85,27,6
20170101,846468,664914,7,6,120,2179,78,20,6
20170101,862180,664914,7,7,128,2497,160,17,6
20170101,843392,664911,12,1,126,2079,22,32,3
20170101,831478,664911,12,2,133,2101,22,31,3
20170101,753203,664911,12,3,126,3279,22,77,3
20170101,833315,664911,12,4,131,2452,30,45,3
20170101,888754,664911,12,5,116,1399,19,8,3
20170101,861789,664911,12,6,119,1732,3,34,3
20170101,900494,664911,12,7,126,1329,22,12,3
20170101,868794,664911,12,8,122,1707,16,23,3
20170101,828587,664911,12,9,130,2160,22,48,3
20170101,814375,664911,12,10,123,2499,12,53,3
20170101,837302,664911,12,11,126,2080,22,61,3
20170101,814863,664911,12,12,116,2465,75,65,3
20170101,863553,664910,10,1,125,2117,13,25,3
20170101,798325,664910,10,2,119,2828,12,52,3
20170101,865694,664910,10,3,130,1757,12,25,3
20170101,883711,664910,10,4,127,1352,12,17,3
20170101,859738,664910,10,5,125,1778,12,30,3
20170101,762585,664910,10,6,124,3232,12,95,3
20170101,792845,664910,10,7,121,2835,12,47,3
20170101,779044,664910,10,8,125,2887,17,74,3
20170101,855899,664910,10,9,123,1794,17,28,3
20170101,839873,664910,10,10,133,2082,25,30,3
20170101,890704,664912,12,1,131,1380,20,8,5
20170101,790347,664912,12,2,132,2882,26,40,5
20170101,767585,664912,12,3,128,3172,37,55,5
20170101,848555,664912,12,4,126,2487,26,44,5
20170101,867747,664912,12,5,129,2092,44,21,5
20170101,892410,664912,12,6,128,1381,26,4,5
20170101,738214,664912,12,7,131,3605,13,71,5
20170101,815363,664912,12,8,129,2437,14,35,5
20170101,904962,664912,12,9,125,1346,54,8,5
20170101,891892,664912,12,10,127,1440,30,13,5
20170101,813807,664912,12,11,133,2509,18,37,5
20170101,816936,664912,12,12,125,2886,20,25,5
20170101,805255,664915,12,1,126,2432,12,53,6
20170101,904451,664915,12,2,128,1393,3,8,6
20170101,687756,664915,12,3,125,4297,12,188,6
20170101,893121,664915,12,4,127,1429,13,13,6
20170101,876347,664915,12,5,124,1760,26,32,6
20170101,822218,664915,12,6,126,2494,52,58,6
20170101,820237,664915,12,7,129,2447,13,51,6
20170101,805224,664915,12,8,120,2503,12,44,6
20170101,895480,664915,12,9,129,1424,13,7,6
20170101,838701,664915,12,10,134,2083,120,44,6
20170101,902950,664915,12,11,130,1787,22,9,6
20170101,879877,664915,12,12,119,1729,10,6,6
20170102,776428,665331,8,1,150,3537,19,48,6
20170102,901539,665331,8,2,135,1426,23,10,6
20170102,770035,665331,8,3,134,3606,98,35,6
20170102,695819,665331,8,4,145,3955,44,60,6
20170102,867435,665331,8,5,135,1791,18,7,6
20170102,817527,665331,8,6,136,2451,21,26,6
20170102,826259,665331,8,7,149,2102,14,39,6
20170102,928580,665331,8,8,140,1347,48,6,6
20170102,835580,665334,12,1,132,2084,13,47,6
20170102,855848,665334,12,2,133,1791,4,4,6
20170102,865946,665334,12,3,125,1777,23,39,6
20170102,877162,665334,12,4,130,1344,12,17,6
20170102,841086,665334,12,5,119,2166,24,28,6
20170102,821512,665334,12,6,123,2807,28,35,6
20170102,935133,665334,12,7,133,1362,67,10,6
20170102,867290,665334,12,8,114,1754,4,22,6
20170102,912014,665334,12,9,129,1760,18,12,6
20170102,859443,665334,12,10,124,1742,18,28,6
20170102,855881,665334,12,11,126,1773,13,24,6
20170102,862881,665334,12,12,128,1713,66,22,6
20170102,893926,666711,11,1,128,1400,12,17,6
20170102,882495,666711,11,2,123,1344,13,8,6
20170102,876051,666711,11,3,131,1744,35,21,6
20170102,811497,666711,11,4,130,2512,13,68,6
20170102,895310,666711,11,5,126,1343,4,23,6
20170102,805657,666711,11,6,133,2480,27,46,6
20170102,708102,666711,11,7,126,3958,2,181,6
20170102,853826,666711,11,8,117,2098,69,25,6
20170102,896470,666711,11,9,126,1705,31,16,6
20170102,844875,666711,11,10,119,2138,27,31,6
20170102,761022,666711,11,11,128,3258,132,64,6
20170102,883719,665330,14,1,130,1396,18,21,5
20170102,828045,665330,14,2,128,2095,4,34,5
20170102,897833,665330,14,3,127,1405,19,16,5
20170102,885592,665330,14,4,134,1385,6,9,5
20170102,868099,665330,14,5,130,1753,20,33,5
20170102,887018,665330,14,6,121,1433,13,16,5
20170102,782048,665330,14,7,127,2803,4,85,5
20170102,888574,665330,14,8,124,1362,72,20,5
20170102,857808,665330,14,9,128,2092,13,36,5
20170102,860215,665330,14,10,121,1779,61,27,5
20170102,864355,665330,14,11,123,1737,13,32,5
20170102,782278,665330,14,12,133,2850,20,66,5
20170102,886676,665330,14,13,126,1377,13,13,5
20170102,848341,665330,14,14,123,2107,504,2,5
20170102,891971,665328,5,1,129,1736,40,5,4
20170102,1012436,665328,5,2,126,1431,14,8,4
20170102,1284540,665328,5,3,126,1326,0,0,4
20170102,1214425,665328,5,4,126,1401,38,1,4
20170102,886612,665328,5,5,126,1423,30,2,4
20170102,838686,665332,5,1,130,2102,97,21,6
20170102,773281,665332,5,2,138,2871,28,21,6
